,Mean,SD,Skewness,Excess Kurtosis,RR ratio
ADBE,0.001769907124432001,0.021123100991460274,-0.5234991002321663,1.8402137795396563,0.083790117992029
MKTX,0.002340795541301072,0.028237119834803565,-1.7971806325688118,12.25341565970469,0.08289781518070878
VRSN,0.0009967877685834955,0.012218043947001874,-0.28453085193972394,-0.07680907628696465,0.0815832528436839
MA,0.0009392252332476451,0.011557189451066834,0.817617279797671,1.7224859743140364,0.08126761590474282
PCAR,0.0013735762643526616,0.01701130733384375,1.0791925617288531,5.451180951920594,0.08074489734365985
BIO,0.001615128888166676,0.020515254375083225,0.6046316465136828,0.8176246073926032,0.07872819213630267
NTAP,0.0011593845169146084,0.014963186555899784,0.04380889016314991,0.056154946064216116,0.0774824608771237
VRSK,0.0010464101556445682,0.013539100489137661,0.26295315818611403,0.13221159171748198,0.07728801159900518
TER,0.0016102273677119656,0.020854302796187215,0.5196733835757272,0.4024626626024612,0.07721319592647148
MTD,0.0013110594620431458,0.017009922200240335,0.03805448004442842,-0.2178545670884251,0.0770761586449009
SBUX,0.0009523445884288317,0.012362190995439948,-0.44539319974223324,1.825744551382825,0.07703687710213537
NFLX,0.0018964734578039491,0.024707164220771086,0.8650825730553737,1.7679395094399935,0.07675803831058853
GPN,0.0015731510795048982,0.020537252672606594,0.04308458021406282,0.1285437118896633,0.076599879476734
AMZN,0.0018212714756961357,0.02398123608894716,-0.14454754725345145,1.8434824661649092,0.07594568807633527
TDY,0.001014660402093109,0.01338809017740743,0.15492614885360928,0.4636798901086987,0.07578828560666263
NOW,0.001786772088061073,0.023650320154278575,-0.3297039854240385,0.4358080798690587,0.07554959410297152
VZ,0.0008603041661178379,0.011425981626796162,-0.4085878580655817,-0.09708255640422037,0.0752936766588401
MDLZ,0.0007591923130508428,0.010237704042982259,-0.07671483630701527,1.9029406710330292,0.07415650128812368
WELL,0.0013207318884250327,0.017890000351620753,-0.8530158172929388,2.19990167333553,0.07382514602943428
EIX,0.0011435143769727121,0.01554973440994452,0.13427076873998087,-0.3473359408458325,0.07353915808628864
ODFL,0.0015467082595924677,0.021060747318878595,1.6008748267190822,5.307962668047103,0.07344033125576781
TYL,0.0014947519314765865,0.020467298594089342,-0.3281686714945135,-0.4352297237402052,0.07303122708671721
C,0.0014174851956394753,0.01951731458224485,-0.8339255588302023,3.929302972171901,0.07262706094459223
AON,0.0008404985757040567,0.01158672073244008,0.2861487761107979,2.2265460291127157,0.07253981476837179
FOXA,0.001131159427157455,0.01577805539124359,0.09524461353838104,0.46314714153655867,0.07169194169423561
RE,0.0013882218410641081,0.019478650922080138,-0.3245991033617996,1.6886861191564382,0.07126889057242056
BR,0.0009666176305256648,0.013583636590189123,-0.04421072501347472,-0.08067346280571641,0.0711604454453538
NRG,0.0013780671006724643,0.01939013628638831,-0.026851858458256876,0.8273735105756401,0.07107052164660926
LIN,0.001079173993062586,0.015236347339399476,0.2729480966021824,1.138960725747455,0.07082891778608669
KR,0.0009376628052982331,0.01328270058662255,0.224744071943124,2.1231711432622964,0.07059278338642855
FCX,0.0016093607522865581,0.022818695980363266,-0.23023288058719668,0.9289441295082046,0.07052816487285254
XOM,0.0012783270765066332,0.018222013129681778,0.17567127352075135,1.1763278737538903,0.070152900637766
TMUS,0.0008003486552108308,0.011441611908591685,0.1646672812107291,0.19627135864651768,0.06995069065485751
TGT,0.0011499901137898018,0.016451295022341748,-0.19763972319336415,0.01542285037357427,0.06990271052996455
DIS,0.0012213626811468504,0.017630472586838628,-0.06356582458113384,0.13844475457762462,0.06927566320931257
CLX,0.001064272820446402,0.015475677893367821,2.500347138261731,14.779706811505996,0.06877067536424375
TAP,0.0010858017263508438,0.016177799218861002,-0.12441363901311399,0.06114860418055512,0.0671167760003446
APTV,0.001351199604577342,0.02020264719281257,0.3143363105527995,0.8180419502127285,0.06688230466441318
PH,0.0012434221663762944,0.018646286132083762,-0.9573355615412529,1.8782480377388238,0.06668470909264865
BRK-B,0.0007083847302405239,0.010701431713763379,-0.35175254488016006,0.17243116705334982,0.06619532312946992
HLT,0.0009972001849242883,0.015122073352832896,-0.08923990633672468,-0.3355861845205981,0.06594335060129024
AJG,0.000821287579578934,0.012455367830231467,-0.33347025825307774,1.0813098621860417,0.06593844443401488
DOV,0.0011235532743569124,0.01730332096564522,-0.05937495056550524,1.1364591880688044,0.06493281125557718
CSCO,0.0007887101352818595,0.012164490711719635,0.7426506216908388,2.850962749614645,0.06483708639951466
DHI,0.0010522789224806164,0.01623621404991497,-0.08190122476969183,0.035068037472142155,0.06481060912633924
INTU,0.001376492186524157,0.02131135900488537,-0.034102104948991116,0.15900537751907562,0.06458960154575843
UPS,0.0008781342853251944,0.013689172242950864,0.32508008969749025,0.6376252375242633,0.06414809235652529
VRTX,0.0009667306016510575,0.01525998534029498,-0.869243618828649,2.0103264697879846,0.06335069006248274
TRGP,0.0011849656209379528,0.018958157179131786,-0.2983749329104044,0.3961213294357795,0.06250426187215628
MAR,0.00099802287632354,0.015977245334168062,0.15446590291100068,-0.42134774700012656,0.06246526578578743
ITW,0.0008735035070597444,0.014130983204240513,-0.025019786791154613,1.3542830673749853,0.06181477215241598
GRMN,0.0008859176798680241,0.014430547493542306,0.17105390999622452,-0.06964877726024676,0.061391827320791105
PKG,0.0009816007251013804,0.01634862625596312,0.7781167027345796,4.347020745310543,0.060041786369869704
BA,0.0011533109814324935,0.019514077600974778,-0.6308428380159931,0.9664502897748628,0.059101485861411285
FOX,0.0009288836503774751,0.015737533887295343,0.1548505586261381,0.4386861506868791,0.05902345672642827
RCL,0.0015456227491631926,0.026470309162587097,0.3099119718778052,0.13570067249454398,0.058390808345667615
MNST,0.0006597348011503357,0.011360592348915021,0.3580412409218556,0.0379912586104445,0.05807221849777426
LRCX,0.0014747666056372719,0.0256328060960855,0.03801311937198264,1.5988379784464692,0.05753434095779666
PYPL,0.001141712778201497,0.019997322010934283,0.18988442640012254,0.03509444215215529,0.0570932836695445
JNPR,0.0007216544500115927,0.012706055081338994,-0.43979372223157226,0.6964516396429326,0.0567961059031977
JPM,0.0009802832187513484,0.017294244621347703,-0.01255559424500907,4.548160345342605,0.05668262709440946
CHTR,0.001058909292891175,0.018862482950713837,-0.4023744704314728,0.020175537619989026,0.056138383035680965
ZBH,0.0005562681194183391,0.009947690842886757,0.3408603979272551,-0.0632878209001495,0.055919321197653304
