,0
BKNG,0.08309223987009184
CDNS,0.11169539395510798
CPRT,0.11355964805391419
CRM,0.0929912834352311
GE,0.06053399956620375
META,0.0571320079945535
MKTX,0.15726468986339373
NVDA,0.06233928073655871
ULTA,0.10839270378540025
WST,0.15299875273954494
